id	B cells naive 	B cells memory 	Plasma cells 	T cells CD8 ***	T cells CD4 naive *	T cells CD4 memory resting 	T cells CD4 memory activated 	T cells follicular helper 	T cells regulatory (Tregs) **	T cells gamma delta 	NK cells resting ***	NK cells activated 	Monocytes ***	Macrophages M0 ***	Macrophages M1 	Macrophages M2 ***	Dendritic cells resting 	Dendritic cells activated 	Mast cells resting 	Mast cells activated 	Eosinophils ***	Neutrophils ***
GSM1620769_con	0.023991711	0.002017851	0	0.118164453	0.128181424	0.170096092	0	0	0	0	0.175678609	0	0.309643608	0	0	0.022679428	0	0.002652925	0	0	0.002859685	0.044034215
GSM1620770_con	0.043185783	0	0.00620664	0.174985561	0.07242699	0.142197141	0	0	0	0	0.244368601	0	0.271461752	0	0	0.015201697	0	0.004371836	0.025593998	0	0	0
GSM1620771_con	0.030815416	0.001526455	0	0.338999722	0.016514168	0.051696402	0	0	0	0	0.218728236	0	0.31563392	0.00216591	0	0	0	0.002299803	0.010026787	0	0	0.01159318
GSM1620772_con	0.058148064	0	0	0.254907203	0.056892104	0.091025664	0	0	0.011280119	0	0.243460655	0	0.26060728	0.002377311	0	0.004422063	0	0.00366	0.009195801	0	0	0.004023734
GSM1620773_con	0.034895563	0.004337582	0	0.370159213	0	0.12568729	0	0	0	0	0.2503763	0	0.201236848	0.006787171	0	0	0	0.003561062	0	0	0.002958971	0
GSM1620774_con	0.019908177	0.038313585	0	0.197215331	0.115114504	0.146643495	0	0	0	0	0.199973188	0	0.265308984	0.001127663	0	0	0	0.00071435	0.010049516	0	0.005631207	0
GSM1620775_con	0.006561921	0.009133011	0.008968383	0.196881844	0.065394163	0.179534557	0	0	0	0	0.179294698	0	0.311505224	0.000934296	0	0	0	0.004033113	0.009683532	0	0	0.028075259
GSM1620776_con	0.042219814	0.020415752	0	0.09783167	0.115382367	0.211440178	0	0	0	0	0.207715787	0	0.282549935	0.002022736	0	0	0	0.004612049	0	0	0.000677391	0.01513232
GSM1620777_con	0.015555662	0.035413662	0	0.095807937	0.140079049	0.211065448	0	0	0	0	0.207501862	0	0.280760112	0	0	0.006424524	0	0.003547745	0.003843998	0	0	0
GSM1620778_con	0.041609937	0	0.008337154	0.161030208	0.115474312	0.122280692	0	0	0	0	0.220515429	0	0.304659049	0	0	0.005588444	0	0.004375138	0.003216566	0	0.008269271	0.0046438
GSM1620779_con	0.020599463	0.009106452	0	0.278177839	0.069975501	0.117009005	0	0	0	0	0.162755468	0	0.294044926	0.002670445	0	0.006101968	0	0.003337698	0.022732661	0	0.013488573	0
GSM1620780_con	0.014079063	0.021027551	0.000652848	0.14013414	0.169020442	0.15616318	0	0	0	0	0.2299108	0	0.256987143	0	0	0.004806353	0	0.004036194	0.003182286	0	0	0
GSM1620781_con	0.030093081	0	0.000460642	0.145403553	0.094454438	0.191733267	0	0	0	0	0.189417297	0	0.331112241	0	0	0.00312435	0	0.004819921	0.000351044	0	0.007157764	0.001872402
GSM1620782_con	0.011322489	0.055313192	0.001389716	0.154440582	0.095901639	0.149679047	0.001022887	0	0	0	0.170441473	0	0.326980069	0.001590448	0	0	0	0	0.014151051	0	0.017767405	0
GSM1620783_con	0.024191625	0.066031903	0	0.210496553	0.086948974	0.125803641	0	0	0	0	0.119793085	0	0.34715886	0	0	0.003667153	0	0	0.015908206	0	0	0
GSM1620784_con	0.009119671	0.013203513	0	0.260819662	0.007143191	0.205229085	0	0	0	0	0.167018401	0	0.305143719	0.002972319	0	0	0	0.000919081	0.016350645	0	0	0.012080714
GSM1620785_con	0.036445482	0.03008553	0	0.185169004	0.141762642	0.16832111	0	0	0	0	0.230929882	0	0.19765177	0	0	0.002624953	0	0.005113858	0	0	0.001895769	0
GSM1620786_con	0.054293866	0.013391743	0	0.171362549	0.16973234	0.168433631	0	0	0	0	0.116741302	0	0.281114858	0	0	0.005124914	0	0.004056768	0.00388079	0	0.001798161	0.010069078
GSM1620787_con	0.01946348	0.009002867	0	0.218631546	0.112451374	0.125690742	0	0	0	0	0.244907469	0	0.248775286	0	0	0.002531977	0	0.003092739	0.008824635	0	0.006627886	0
GSM1620788_con	0.010172959	0.04328877	0.001238237	0.178324297	0.06935493	0.152842735	0	0	0	0	0.246154364	0	0.278353595	0	0	0	0	0.00288449	0.002824425	0	0	0.014561199
GSM1620789_con	0.011600697	0.015182685	0	0.169293221	0.105089599	0.161680761	0	0	0	0	0.27958279	0	0.241515481	0	0	0.006912678	0	0.003939071	0	0	0	0.005203015
GSM1620790_con	0.025236122	0.02301638	0	0.275428448	0.027706836	0.15013344	0	0	0	0	0.259507283	0	0.205182218	0.00633006	0	0	0	0.001487465	0.006557792	0	0	0.019413956
GSM1620791_con	0.043966404	0.02069079	0	0.133480236	0.167545821	0.166650047	0	0	0	0	0.198814893	0	0.252382471	0	0	0.002895881	0	0.004530393	0	0	0	0.009043064
GSM1620792_con	0.047838728	0	0	0.127341752	0.121169684	0.154482524	0.004485708	0	0	0	0.190523637	0	0.328285261	0.000992338	0	0.001451762	0	0.002800798	0.015619696	0	0	0.005008114
GSM1620793_con	0.027114613	0.014869027	0	0.117757484	0.10977559	0.201950734	0	0	0.009628254	0	0.237842833	0	0.252400366	0	0	0	0	0.001445461	0.009655924	0	0	0.017559713
GSM1620794_con	0.045356982	0	0.000371773	0.242282994	0.072668087	0.189652713	0	0	0	0	0.204585927	0	0.211751784	0	0	0	0	0.005358458	0	0	0	0.027971283
GSM1620795_con	0.040339353	0.003090313	0	0.174117761	0.057445923	0.128521195	0	0	0.0250388	0	0.262630339	0	0.271012053	0	0	0.014945296	0	0.00173158	0.014812472	0	0	0.006314914
GSM1620796_con	0.06651543	0	0.00013642	0.148785146	0.110857015	0.185629782	0	0	0	0	0.151809472	0	0.310562715	0.000550883	0	0.001586708	0	0.003937866	0.010162888	0	0	0.009465676
GSM1620797_con	0.046577316	0	0	0.220764687	0.118355284	0.160739545	0	0	0	0	0.154855423	0	0.254452233	0	0	0.011966268	0	0.002803213	0.01152731	0	0.005944892	0.01201383
GSM1620798_con	0.0191663	0.019490253	0	0.228314565	0.146856646	0.110072385	0	0	0	0	0.258068711	0	0.212217201	0	0	0.00163788	0	0.003964922	0.000211136	0	0	0
GSM1620799_con	0.048525959	0	0	0.235342451	0.084872028	0.098882235	0	0	0	0	0.323669942	0	0.17060357	0	0	0.01674154	0	0.003788525	0.01757375	0	0	0
GSM1620800_con	0.045920202	0.016572576	0	0.13862392	0.097350012	0.202104216	0	0	0	0	0.137258077	0	0.303737069	0	0	0.017720917	0	0.003626124	0.012706914	0	0.001358397	0.023021576
GSM1620801_con	0.07455168	0	0	0.160231438	0.049410902	0.144731792	0	0	0.020440903	0	0.245712397	0	0.276182146	0.002054054	0	0.004409143	0	0.002645035	0.018170201	0	0.001460309	0
GSM1620802_con	0.042391585	0.001254002	0	0.173418992	0.151446316	0.147260124	0	0	0	0	0.134953903	0	0.314434049	0.002051276	0	0	0	0.003864138	0.013241526	0	0	0.015684088
GSM1620803_con	0.040938745	0.027811024	0	0.184453257	0.168978688	0.128470188	0	0	0	0	0.220729576	0	0.210453516	0.001107093	0	0.000465495	0	0.002665497	0.013926922	0	0	0
GSM1620804_con	0.101021303	0	0.005472258	0.137173137	0.092777473	0.181540541	0	0	0	0	0.238739527	0	0.224967498	0.002020916	0	0	0	0.002744949	0.003479956	0	0	0.010062442
GSM1448335_DILI	0.004094215	0.014874474	0	0.094202378	0	0.154827085	0	0	0	0	0.222352205	0	0.448729985	0.003493391	0	0	0	0.003840602	0.018989317	0	0	0.034596348
GSM1448338_DILI	0.044761873	0.022700969	0	0.128551602	0.185046762	0.13195555	0	0	0.006637057	0	0.20148086	0	0.264339991	0.003715138	0	0	0	0.004496658	0.006313538	0	0	0
GSM1448342_DILI	0.043506569	0	0	0.1108449	0.005832555	0.103253978	0	0	0.014504185	0	0.205715819	0	0.486381461	0.002761323	0	0	0	0.003088374	0.008849968	0	0	0.015260869
GSM1448346_DILI	0.005044909	0	0.000135049	0.117848041	0.031490109	0.151330116	0	0	0.00713038	0	0.210007675	0	0.391847314	0	0	0.003507084	0	0.001949764	0.015512174	0	0	0.064197387
GSM1448350_DILI	0.042546836	0	0	0.140450346	0.126966938	0.191726046	0	0	0	0	0.127037753	0	0.324104758	0.003036841	0	0	0	0.002974969	0.013726223	0	0.002804689	0.024624602
GSM1448352_DILI	0.004072649	0.02927484	0	0.122727767	0.001132375	0.209327112	0	0	0	0	0.199687047	0	0.410762102	0.004466676	0	0	0	0.00180766	0.01674177	0	0	0
GSM1448356_DILI	0.060819592	0	0.005761167	0.129957785	0.148874268	0.094150083	0	0	0.015206068	0	0.216249373	0	0.309005904	0	0	0.002869694	0	0	0.00906817	0	0.000825372	0.007212524
GSM1448360_DILI	0.01639344	0.010641351	0	0.213205702	0	0.109287885	0	0	0.011500506	0	0.202070488	0	0.41001476	0.014545297	0	0	0	0.002616415	0.009724156	0	0	0
GSM1448364_DILI	0.034514364	0.016287885	0	0.146794955	0.149008535	0.158971015	0	0	0.02664711	0	0.15098656	0	0.296734453	0.002495799	0	0	0	0.004312413	0.003653947	0	0	0.009592964
GSM1448368_DILI	0.036827417	0.002018644	0.006821765	0.091871593	0.108152749	0.117149631	0	0	0	0	0.252888315	0	0.357543815	0.003341276	0	0.004239006	0	0.00446327	0.013529469	0	0.001153051	0
GSM1448371_DILI	0.039569295	0.012511102	0	0.335366697	0.096022278	0.05324401	0	0	0	0	0.216234147	0	0.239491037	0	0	0.000507691	0	0.004754456	0	0	0.002299286	0
GSM1448375_DILI	0.057991	0	0	0.259025821	0	0.102137436	0	0	0.014499964	0	0.19194443	0	0.343903555	0.004010152	0	0	0	0.004600682	0.000288805	0	0	0.021598155
GSM1448378_DILI	0.014934635	0.021627547	0	0.070047396	0	0.160816481	0	0	0	0	0.211765933	0	0.473036695	0.000170446	0	0	0	0.006003679	0	0	0	0.041597189
GSM1448380_DILI	0.014907063	0.015412155	0.009002501	0.180764428	0.021509913	0.122678785	0	0	0	0	0.188465609	0	0.382873908	0.000193809	0.002211601	0	0	0.003982243	0.013793926	0	0	0.044204058
GSM1448383_DILI	0.065404412	0	0.002788824	0.197754141	0.074580838	0.12802771	0	0	0.003422606	0	0.1282768	0	0.345551002	0.005296714	0	0	0	0.004903947	0.01624273	0	0	0.027750277
GSM1448386_DILI	0.027630449	0.01397032	0.011394136	0.113650425	0.012871387	0.168625523	0	0	0	0	0.109846106	0	0.444649033	0.004433234	0	0	0	0.002811809	0.017571748	0	0	0.072545828
GSM1448389_DILI	0.037593184	0	0	0.136139401	0	0.192617553	0	0	0	0	0.178703428	0	0.437472108	0.006669781	0	0	0	0.003300772	0.007503772	0	0	0
GSM1448391_DILI	0.076333392	0	0	0.226612846	0.051461217	0.110205091	0	0	0.019486888	0	0.170445913	0	0.323949744	0.002294904	0	0.002023919	0	0.003561862	0.013000482	0	0.000623741	0
GSM1448395_DILI	0.04403542	0.021530792	0	0.130729863	0.06458261	0.142067868	0.011795841	0	0	0	0.080121564	0	0.450505905	0.000184887	0	0.007496944	0	0.006773626	0	0	0	0.040174681
GSM1448398_DILI	0.039543374	0.000643457	0	0.098854756	0.065062116	0.158016521	0	0	0	0	0.160025779	0	0.442291739	0	0	0	0	0.002994923	0.015740006	0	0	0.016827329
GSM1448401_DILI	0.037957253	0	0	0.135979499	0.20515906	0.049354249	0	0	0.003187197	0	0.197133186	0	0.321998606	0	0	0.003886201	0	0.005318531	0	0	0	0.040026219
GSM1448405_DILI	0.029525813	0.010143373	0.000755929	0.231777404	0.067263977	0.034093669	0	0	0.036508909	0	0.223907306	0	0.335782304	0	0	0.004445439	0	0.004315692	0	0	0	0.021480185
GSM1448409_DILI	0.040178679	0.028556887	0	0.277091382	0.04621762	0.135067256	0	0	0.020389967	0	0.169940583	0	0.255596216	0	0	0.00210687	0	0.003667073	0.006037127	0	0	0.01515034
GSM1448413_DILI	0.032378813	0	0	0.26023113	0.042921416	0.086052769	0	0	0.027119378	0	0.182254015	0	0.33578285	0.003447124	0	0	0	0.003955873	0.005013033	0	0	0.020843598
GSM1448417_DILI	0.054880323	0.014294517	0.031780401	0.191554819	0.04631267	0.178947641	0	0	0.00154581	0	0.143084359	0	0.323301855	0.004563122	0	0	0	0.002614143	0.007120342	0	0	0
GSM1448421_DILI	0.038879549	0.046983328	0.016424814	0.140864739	0	0.165330694	0	0	0	0	0.169581506	0	0.352055934	0.001098257	0	0	0	0.003483203	0.010026063	0	0	0.055271913
GSM1448425_DILI	0.044792664	0.00039894	0.006736161	0.128296035	0.005547099	0.131183725	0	0	0.002217411	0	0.261069701	0	0.395949534	0.000502859	0	0	0	0.002600441	0.008535435	0	0	0.012169994
GSM1448429_DILI	0.028341746	0	0	0.122094107	0.029557327	0.122035797	0	0	0	0	0.145409554	0	0.455362445	0	0	0	0	0.008673931	0.020643982	0	0	0.067881111
GSM1448433_DILI	0.020506281	0.020480882	0	0.11215739	0	0.128668232	0	0	0.017908936	0	0.130210147	0	0.51082044	0	0	0	0	0.003392255	0.007938112	0	0	0.047917324
GSM1448437_DILI	0.042682965	0	0	0.191686232	0.040938166	0.230630284	0	0	0	0	0.067984114	0.004449868	0.343297613	0	0	0.003483217	0	0.005520959	0.025838309	0	0	0.043488273
GSM1448439_DILI	0.024100241	0	0	0.148374741	0.04161974	0.145644929	0	0	0	0	0.165678781	0	0.45095535	0	0	0.004430469	0	0.003376183	0.013949924	0	0	0.001869641
GSM1448442_DILI	0.020113117	0	0	0.103076588	0.036613166	0.150276797	0	0	0.000519656	0	0.145016239	0	0.443140495	0.012826462	0	0	0	0.0039958	0.030017144	0	0	0.054404536
GSM1448446_DILI	0.07876085	0	0	0.222481839	0.055245438	0.096416701	0	0	0.017129502	0	0.185508637	0	0.311899263	0.003326366	0	0	0	0.003184709	0.012606633	0	0	0.013440062
GSM1448450_DILI	0.021947453	0	0	0.286584531	0.014043162	0.102240293	0	0	0	0	0.223205838	0	0.324306883	0	0	0	0	0.004743084	0.003429487	0	0	0.01949927
GSM1448452_DILI	0.006931997	0.039780684	0	0.150664134	0.019661638	0.087033713	0	0	0.006425719	0	0.209314472	0	0.454948392	0	0	0.003480257	0	0.004060116	0.00095279	0	0	0.016746088
GSM1448455_DILI	0.032598085	0	0	0.134219973	0.004526017	0.100164218	0	0	0.021236081	0	0.145534279	0	0.48926362	0.001369165	0	0	0	0.00244566	0.01871249	0	0	0.049930412
GSM1448459_DILI	0.023567101	0.008935333	0	0.230056698	0.041219093	0.150003712	0	0	0	0	0.172759767	0	0.357502213	0.000103048	0	0.004327994	0	0.004811923	0.001891271	0	0	0.004821847
GSM1448463_DILI	0.024442572	0.02434787	0	0.140629361	0.086604011	0.185344503	0	0	0	0	0.143902555	0	0.353168646	0.005023159	0	0.001394094	0	0.00239533	0.019737809	0	0	0.013010088
GSM1448467_DILI	0.01984964	0.021187993	0.00157604	0.116365392	0	0.168865475	0	0	0	0	0.17122594	0	0.467162602	0	0	0.001023114	0	0.004387027	0.002021598	0	0	0.026335179
GSM1448468_DILI	0.007046463	0.01999506	0.003141219	0.081664077	0.111200097	0.189071636	0.004296572	0	0	0	0.193478569	0	0.359848507	0.002012068	0	0	0	0.002988895	0.008975523	0	0	0.016281314
GSM1448471_DILI	0.030887641	0.013381396	0	0.237557751	0.148293809	0.090877298	0	0	0	0	0.141111231	0	0.294999833	0	0	0.001406199	0	0.0050926	0.005920102	0	0	0.03047214
GSM1448475_DILI	0.044428214	0.019490625	0	0.155096097	0.143239317	0.051759545	0.010739478	0	0	0	0.137772298	0	0.387197419	0	0	0.008740318	0	0.006941602	0	0	0	0.034595087
GSM1448479_DILI	0.018752497	0.021254983	0	0.18237547	0.132224262	0.15190688	0	0	0.023557946	0	0.151764209	0	0.297265909	0.001938237	0	0.00061464	0	0.003268963	0.015076004	0	0	0
GSM1448483_DILI	0.045383738	0	0	0.16957928	0.013962458	0.145897463	0	0	0	0	0.14015774	0	0.422491652	0.001453931	0	0	0	0.004009026	0.012186062	0	0	0.04487865
GSM1448485_DILI	0.061284349	0	0	0.09176722	0.15527242	0.066690233	0.005287066	0	0	0	0.065115459	0	0.532101086	0.002766886	0.003897708	0.001098355	0	0.004211574	0.00511638	0	0	0.005391265
GSM1448489_DILI	0.081493693	0	0	0.179427625	0.100454624	0.115312622	0.00706552	0	0.033669216	0	0.098812856	0	0.347172753	0	0	0.006805441	0	0.004183713	0.009764928	0	0	0.015837009
GSM1448493_DILI	0.058312268	0	0	0.169486538	0	0.084478522	0	0	0.004767813	0	0.128875034	0	0.478945701	0.002039363	0	0	0	0.005465888	0.022780342	0	0	0.044848531
GSM1448497_DILI	0.023043799	0.018602742	0.007394888	0.200858162	0.049181768	0.093232899	0	0	0.034771437	0	0.236264994	0	0.319496564	0	0	0.002401894	0	0.004071266	0.006002189	0	0	0.004677398
GSM1448501_DILI	0.033049114	0.004756165	0	0.082901463	0.078898147	0.015438681	0.009909675	0	0	0	0.129268788	0	0.586352877	0	0	0	0	0.005650509	0	0	0	0.053774581
GSM1448505_DILI	0.007263062	0.012542654	0	0.042801602	0.020923143	0.098163512	0	0	0	0	0.081961203	0	0.585180724	0	0	0	0	0.003941776	0.025086464	0	0	0.122135859
GSM1448508_DILI	0.033810504	0.005843204	0.003187525	0.104267374	0.047195129	0.18417884	0	0	0	0	0.111724601	0	0.43262246	0	0	0	0	0.002348959	0.015119482	0	0	0.059701922
GSM1448512_DILI	0.036636726	0	0.003446055	0.153008883	0.040104601	0.190064498	0	0	0.035030675	0	0.152751984	0	0.343184466	0.002496733	0	0	0	0.001517277	0.013832436	0	0.007419029	0.020506635
GSM1448516_DILI	0.085541865	0	0	0.174400125	0.057473791	0.186691324	0	0	0	0	0.138048777	0	0.310796361	0	0	0.00663923	0	0.003326978	0.013307817	0	0.013653802	0.01011993
GSM1448519_DILI	0.055341547	0	0	0.126835307	0.010983016	0.22100959	0.005536109	0	0	0	0.116535787	0	0.418306214	0.002073792	0	0	0	0.004952302	0.00865145	0	0.000840251	0.028934636
GSM1448523_DILI	0.044914423	0	0	0.120928617	0.092025003	0.172389317	0.002549544	0	0	0	0.106299632	0	0.373001304	0.006524835	0	0	0	0.002720317	0.024910342	0	0.003525355	0.050211311
GSM1448526_DILI	0.029293042	0.002765777	0.00207768	0.146850261	0.070797165	0.178853156	0	0	0	0	0.173798757	0	0.368074018	0.000691002	0	0	0	0.003499486	0.010287637	0	0	0.013012019
GSM1448530_DILI	0.024605027	0.050636519	0	0.087208443	0.110424409	0.173762798	0	0	0	0	0.195910212	0	0.338829683	0	0	0.002847608	0	0.002369249	0	0	0	0.013406053
GSM1448534_DILI	0.085782272	0	0.000630749	0.196964455	0.046260862	0.142579477	0	0	0.028286535	0	0.178232842	0	0.312225495	0	0	0	0	0.00344352	0	0	0	0.005593791
GSM1448538_DILI	0.032228279	0.043420718	0.007758016	0.145794475	0.10766873	0.16742476	0	0	0	0	0.173414532	0	0.303036353	0	0	0.005986843	0	0.005012279	0	0	0	0.008255016
GSM1448541_DILI	0.031868676	0.041551834	0.001025051	0.098142806	0.120879536	0.179117099	0	0	0	0	0.128878223	0	0.370858538	0	0	0.003754226	0	0.002454873	0.014145952	0	0	0.007323185
GSM1448545_DILI	0.036511904	0.012693032	0	0.136283773	0.04138178	0.138372102	0	0	0	0	0.169829264	0	0.427575381	0.002821794	0	0	0	0.004060056	0.012268466	0	0	0.018202448
GSM1448548_DILI	0.018549554	0.007135595	0	0.243768977	0.038447471	0.109537608	0	0	0.022617828	0	0.162471805	0	0.372018677	0.002419035	0	0	0	0.002735601	0.01125995	0	0	0.0090379
GSM1448552_DILI	0.042465159	0	0	0.031873258	0.121249842	0.02191677	0.004408226	0	0	0	0.123994811	0	0.551325401	0	0	0.010932846	0	0.008070971	0.018756592	0	0	0.065006123
GSM1448554_DILI	0.030659394	0.018949837	0	0.349928571	0.053026718	0.090945581	0	0	0	0	0.174030045	0	0.264296627	0	0	0.005465736	0	0.002101187	0.010504159	0	0	9.21E-05
GSM1448558_DILI	0.050377179	0.071295515	0	0.131587463	0.179753388	0	0.009028176	0	0	0	0.101958553	0	0.430643312	0.003166955	0.000409184	0.006871113	0	0.008099055	0.006810107	0	0	0
GSM1448561_DILI	0.03953341	0.008784224	0	0.143302492	0.114128455	0.121689108	0	0	0	0	0.098192887	0	0.405921918	0	0	0	0	0.003339163	0.014076024	0	0	0.05103232
GSM1448564_DILI	0.12010135	0	0	0.121832453	0.083136784	0.15690514	0	0	0.02148081	0	0.14293455	0	0.326820239	0.002143826	0	0	0	0.005613233	0	0	0	0.019031616
GSM1448568_DILI	0.02623211	0	0	0.143438922	0.084511824	0.16588228	0	0	0.010750984	0	0.185091733	0	0.356718958	0.001677738	0	0	0	0.001780001	0.010511101	0	0	0.013404349
GSM1448572_DILI	0.034667771	0.007426755	0.004643519	0.143070378	0.072864386	0.117416312	0	0	0.003111223	0	0.153912685	0	0.425299084	0	0	0	0	0.003605958	0.002201236	0	0	0.031780693
GSM1448576_DILI	0.089148325	0	0.005312521	0.051123478	0.060479907	0.131235953	0	0	0	0	0.212062849	0	0.381692484	0	0	0.007016645	0	0.003727496	0.018437175	0	0	0.039763164
GSM1448580_DILI	0.009427285	0.010714945	0	0.180550177	0.105544303	0.149859144	0	0	0	0	0.242895777	0	0.270445339	0	0	0.006750121	0	0.003028741	0.012993272	0	0	0.007790896
GSM1448584_DILI	0.049852045	0	0	0.14935572	0.062257362	0.145291607	0	0	0.014000333	0	0.164139904	0	0.365215677	0.010119762	0	0	0	0.003533494	0.020247448	0	0.000744687	0.015241961
GSM1448587_DILI	0.06270001	6.25E-05	0	0.126388068	0.04575727	0.131726038	0	0	0	0	0.143880252	0	0.38141155	0.003878513	0	0	0	0.003763922	0.015288886	0	0	0.085142956
GSM1448590_DILI	0.03595167	0	0	0.183200383	0.102169623	0.114523943	0	0	0	0	0.240300086	0	0.277241672	0.0007903	0	0.001377242	0	0.002105289	0.020211721	0	0	0.02212807
GSM1448594_DILI	0.005522902	0.009852396	0	0.065978636	0.12658947	0.197981289	0	0	0	0	0.33463464	0	0.241291984	0.002587422	0	0	0	0.002037434	0.008061647	0	0	0.005462181
GSM1448598_DILI	0.031551893	0	0.0059572	0.103660303	0.00608653	0.157669282	0	0	0	0	0.149719399	0	0.502388626	0	0	0	0	0.002142656	0.009003295	0	0	0.031820815
GSM1448602_DILI	0.046084689	0	0.0043397	0.116630785	0.015342624	0.138822066	0	0	0.005615633	0	0.181715296	0	0.391710011	0	0	0.025322857	0	0.002726253	0.021673589	0	0	0.050016497
GSM1448606_DILI	0.049203451	0.010672061	0	0.275118693	0	0.0956531	0	0	0	0	0.190561552	0	0.345835517	0.004777645	0	0	0	0.00481688	0.013489122	0	0	0.009871978
GSM1448608_DILI	0.034210666	0	0.01267264	0.162414563	0.036187366	0.21271895	0	0	0	0	0.177872501	0	0.307932051	0.005821921	0	0	0	0.00439282	0.006621228	0	0	0.039155293
GSM1448612_DILI	0.026680656	0.012239247	0.001371353	0.192109121	0.056201136	0.171270965	0	0	0.00178775	0	0.149649996	0	0.370767358	0.001753097	0	0	0	0.001068103	0.0093387	0	0	0.005762517
GSM1448615_DILI	0.03931326	0	0	0.156433598	0.053172971	0.146880133	0	0	0	0	0.11331155	0	0.43854236	0.00976283	0	0	0	0.003821049	0.02394354	0	0	0.014818709
GSM1448619_DILI	0.062035759	0.003560377	0	0.16843799	0.09155432	0.147994492	0	0	0	0	0.133711421	0	0.351080401	0.010127929	0	0	0	0.003650225	0.00407642	0	0	0.023770666
GSM1448621_DILI	0.053691549	0.026805254	0	0.228855614	0.073822711	0.121221096	0	0	0	0	0.179644332	0	0.258284594	0	0	0.007168182	0	0.004725116	0.013447842	0	0	0.03233371
GSM1448625_DILI	0.02922805	0.009472257	0	0.210973297	0.021250102	0.099513712	0	0	0	0	0.122410993	0	0.446326243	0.004730476	0	0	0	0.002176775	0.020088972	0	0	0.033829124
GSM1448629_DILI	0.058112812	0.002690714	0.000156994	0.164011934	0.096067124	0.155969557	0	0	0	0	0.16872644	0	0.322750085	0	0	0	0	0.005479034	0.000694285	0	0	0.025341022
GSM1448630_DILI	0.033346204	0.024869752	0	0.134680385	0.027970863	0.135594211	0	0	0	0	0.355071013	0	0.234793946	0	0	0.002271314	0	0.000954441	0.01575373	0	0	0.034694142
GSM1448634_DILI	0.044149346	0	0	0.204101026	0.051887172	0.131667878	0	0	0.006385684	0	0.188182737	0	0.346737879	0.006717187	0	0	0	0.004077592	0.006991576	0	0	0.009101925
GSM1448638_DILI	0.018885021	0.011722964	0.005639669	0.168650027	0.130852805	0.185674782	0	0	0	0	0.201510023	0	0.255469177	0	0	0.00445542	0	0.004321401	0.007304163	0	0	0.005514548
GSM1448639_DILI	0.062595585	0	0	0.221378559	0.117578581	0.083935881	0	0	0.006084192	0	0.126648046	0	0.349865651	0.00614844	0	0	0	0.00190729	0.015760583	0	0	0.008097192
GSM1448642_DILI	0.010013827	0.002751152	0	0.160434393	0.051461873	0.14059389	0	0	0	0	0.210325749	0	0.411963571	0.00140355	0	0	0	0.002629628	0.008422368	0	0	0
GSM1448646_DILI	0.009336587	0.00662728	0	0.138234176	0.007652803	0.136516962	0	0	0	0	0.193172875	0	0.454116255	0	0	0	0	0.005634819	0	0	0	0.048708243
