ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	0.425207387570361	1.70700374923249	0.00042788805298877	0.00715740015908489	0.00540490172196342	3250	tags=41%, list=19%, signal=33%	CD3G/PPP3CC/IFNG/ITK/CD8A/NCK1/CBLB/AKT3/RASGRP1/PRKCQ/CD40LG/CD247/GRAP2/DLG1/PPP3CB/MAPK9/MALT1/PIK3R3/FYN/NFATC3/PIK3CA/PTPRC/NFATC2/PIK3R1/VAV3/CD3D/CD8B/SOS1/CARD11/CD28/PIK3CG/PLCG1/ZAP70/NFAT5/NCK2/PPP3R1/KRAS/MAPK1/CTLA4/CD3E/NRAS/MAP3K7/ICOS/SOS2
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES	38	-0.555204645004616	-1.88897891490231	0.000616037965655852	0.00944591547338972	0.00713307118127828	1575	tags=21%, list=9%, signal=19%	TK2/UPP1/CES2/UCKL1/IMPDH1/TYMP/CDA/CES1
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	41	-0.531576079756373	-1.83032757545255	0.000987185243623212	0.0139724680635901	0.0105512916727339	3106	tags=41%, list=18%, signal=34%	HRAS/FGFR3/DAPK3/MAP2K2/RAF1/VEGFA/ARAF/CXCL8/MAPK3/DAPK1/MMP9/E2F2/MYC/CDKN1A/BRAF/TYMP/THBS1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	182	-0.340541295250449	-1.52706990427376	0.00110166302268568	0.0144789997267261	0.0109337984206398	2395	tags=30%, list=14%, signal=26%	GNB3/RAF1/NFKBIA/CCL2/CXCL6/FOXO3/PAK1/GRK6/PTK2B/PREX1/NFKBIB/VAV2/CXCL2/ARRB1/TIAM1/PIK3CD/CSK/VAV1/GRK2/GNAI2/RELA/SHC1/ADCY7/PRKACA/AKT1/PLCB2/ADCY3/CCR10/XCR1/GRB2/STAT3/PXN/PIK3R2/IKBKG/CXCL1/PRKCD/CXCL8/MAPK3/ADCY4/PLCB3/JAK3/NCF1/GNG5/GSK3A/ARRB2/GNB2/CXCL16/FGR/HCK/BRAF/WAS/GNG10/CCR2/CCR1
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY	133	-0.373092470673248	-1.59827100038564	0.00121240686253735	0.0148721908471248	0.011230716200346	2512	tags=29%, list=15%, signal=25%	ELK1/PPP1CA/MAP2K2/BAD/MKNK2/RAF1/TSC2/HK1/FASN/PIK3CD/PPP1R3D/SOCS1/SHC1/INSR/PRKACA/AKT1/PPP1R3B/RPS6KB2/ARAF/PHKG2/EIF4EBP1/IRS1/GRB2/PIK3R2/SREBF1/PCK2/MAPK3/EIF4E2/MKNK1/SH2B2/HK2/FLOT1/IRS2/BRAF/FLOT2/FBP1/HK3/PYGL/SOCS3
KEGG_PRION_DISEASES	KEGG_PRION_DISEASES	35	-0.552626207738252	-1.8372279886363	0.00170945267178849	0.0196587057255676	0.0148452468865842	2512	tags=46%, list=15%, signal=39%	ELK1/MAP2K2/STIP1/PRNP/HSPA5/LAMC1/PRKACA/C1QA/MAPK3/NOTCH1/C1QB/BAX/C1QC/IL1B/HSPA1A/EGR1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	116	0.394925133033588	1.60576288611563	0.00190781300429394	0.0206492701641226	0.0155932703756533	2349	tags=27%, list=14%, signal=23%	KLRD1/KLRC1/KLRC3/KLRK1/SH2D1A/SH2D1B/PPP3CC/IFNG/GZMB/NCR1/FCGR3A/PRF1/CD247/PPP3CB/PIK3R3/FYN/NFATC3/PIK3CA/NFATC2/PIK3R1/VAV3/KIR3DL1/FASLG/CD244/SOS1/NCR3/PIK3CG/PLCG1/ZAP70/NFAT5/KIR2DL1
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	136	-0.369741529062587	-1.58966461434887	0.00203861649256759	0.0208391908129132	0.0157366887145568	2513	tags=29%, list=15%, signal=25%	NDUFB8/COX6B2/GRIN2D/BAD/COX5A/UQCR11/UQCR10/NDUFA7/CASP9/APP/PSENEN/NDUFV3/CHP1/NDUFC2/GNAQ/NDUFA3/PLCB2/HSD17B10/BID/BACE1/GAPDH/COX6A1/SDHB/MAPK3/NDUFB7/NDUFS7/CYC1/PLCB3/COX6B1/NDUFB3/COX8A/NDUFB10/CDK5/NCSTN/COX5B/CAPN1/UQCRC1/TNFRSF1A/IL1B/LRP1
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	18	0.669780927229332	1.881411845464	0.00249758772544616	0.0241871653411628	0.0182649074658666	2349	tags=50%, list=14%, signal=43%	KLRD1/KLRC1/IFNG/GZMB/PRF1/KIR3DL1/FASLG/CD28/KIR2DL1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	-0.605912565253276	-1.77723957279673	0.00298077215707759	0.0273676827680033	0.0206666711978057	4043	tags=67%, list=24%, signal=51%	HYAL1/HYAL3/NAGLU/HPSE/HS3ST3A1/SGSH/GUSB/HYAL2/HEXB/ARSB/GLB1/IDUA/GALNS/GNS
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	66	-0.433963335248278	-1.66360700693863	0.00312348553330472	0.0273676827680033	0.0206666711978057	2001	tags=29%, list=12%, signal=26%	STK11/NFKBIB/NFKBIE/CPT1A/RELA/CAMKK2/TNFRSF1B/AKT1/IRS1/STAT3/IKBKG/PCK2/TRADD/CD36/TNFRSF1A/IRS2/RXRA/ACSL1/SOCS3
KEGG_OTHER_GLYCAN_DEGRADATION	KEGG_OTHER_GLYCAN_DEGRADATION	15	-0.680978963996173	-1.83245836637064	0.00349154118384476	0.0279323294707581	0.0210930634447372	2918	tags=60%, list=17%, signal=50%	FUCA2/NEU4/MAN2B2/HEXB/GLB1/GBA/MAN2B1/FUCA1/NEU1
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM	25	-0.591106983043873	-1.80909848848339	0.0034364064137858	0.0279323294707581	0.0210930634447372	2591	tags=48%, list=15%, signal=41%	GCK/AKR1B1/HK1/GALE/GLA/GLB1/PFKL/GALK1/MGAM/HK2/GAA/HK3
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	61	-0.444471839562262	-1.67568908326805	0.00372113168722573	0.0285286762687306	0.0215433939786753	2290	tags=36%, list=13%, signal=31%	NFKBIA/CCL2/NLRP1/NFKBIB/CXCL2/RELA/IL18/IKBKG/TRIP6/NAIP/CXCL1/CXCL8/MAPK3/PSTPIP1/CARD9/CARD6/NLRP3/MEFV/PYCARD/NLRC4/IL1B/NOD2
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	80	-0.403118057478555	-1.59005134460487	0.00433483977965708	0.0319044207782761	0.0240925831964099	685	tags=39%, list=4%, signal=37%	CD55/ITGA3/ITGA2B/CSF3/IL9R/CD1B/GP9/CD37/IL11/CD1A/CD4/GP1BA/GP1BB/FLT3/ITGA5/IL1R1/CSF1R/IL4R/CD36/CSF2RA/IL6R/ITGAM/ANPEP/CD1D/IL1B/CD33/CSF3R/IL1R2/CR1/CD14/FCGR1A
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS	171	-0.331250765046528	-1.47499160621088	0.00494126814261428	0.0349689745477319	0.0264067771184245	3106	tags=32%, list=18%, signal=27%	HRAS/EHD1/DAB2/ARFGAP1/FGFR3/FLT1/SRC/RAB11B/CHMP5/DNM1/PIP4K2B/IQSEC1/GIT1/GRK6/RAB5B/CLTA/AP2A2/SNF8/ARRB1/ACAP3/ASAP1/AP2A1/GRK2/RAB11FIP1/PARD6A/HGS/PLD1/CHMP4B/PIP5K1C/CHMP6/RAB31/DNM2/LDLR/RAB5C/VPS37C/MVB12A/VPS25/CSF1R/AP2S1/ARAP3/NEDD4L/EPN1/IQSEC2/SH3GL1/ARRB2/EHD4/HSPA6/CLTB/AP2M1/PLD2/ARAP1/VPS28/CLTCL1/CHMP2A/HSPA1A
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	257	-0.297187306183457	-1.39244527849293	0.00586649044682935	0.0399790460080222	0.0301901262760808	4079	tags=34%, list=24%, signal=26%	FGF18/TP53/JUN/DAXX/CACNA2D1/MEF2C/MAP2K1/CACNA2D3/MAPK14/CACNA1D/DUSP8/CACNG5/PLA2G2F/FGF1/DUSP4/FGF16/PPP3R2/GADD45G/CACNB3/FLNA/CACNA1E/FGF22/CACNG1/CRK/HRAS/CACNA2D4/FGFR3/DUSP9/MAP2K3/FGF19/TAB1/STK3/PRKCA/TAOK2/ELK1/MAP2K2/NTF4/MKNK2/RAF1/MAPK7/ECSIT/PAK1/MAPK8IP3/CHP1/PPP5C/ARRB1/RPS6KA1/DUSP7/PDGFA/MAP3K12/RELA/RPS6KA4/MAP3K3/PRKACA/AKT1/SRF/MAPKAPK3/GRB2/RELB/GNA12/HSPB1/IKBKG/MAP3K8/IL1R1/PLA2G4A/GADD45B/MAPK3/NFKB2/GADD45A/MAP3K11/MAP2K7/DUSP1/RRAS/MKNK1/ARRB2/HSPA6/MYC/TNFRSF1A/DUSP6/BRAF/DUSP3/MAP3K6/FOS/RASGRP4/IL1B/HSPA1A/IL1R2/CD14
KEGG_ALLOGRAFT_REJECTION	KEGG_ALLOGRAFT_REJECTION	17	0.63740187686205	1.75272632127108	0.00702390189041228	0.0435528955265556	0.0328889142420214	2013	tags=35%, list=12%, signal=31%	IFNG/GZMB/PRF1/CD40LG/FASLG/CD28
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	32	-0.527124805199395	-1.71166455253613	0.00663837659481905	0.0435528955265556	0.0328889142420214	2724	tags=44%, list=16%, signal=37%	KHK/AKR1B1/HK1/SORD/PFKL/GMPPA/TPI1/PFKFB4/PHPT1/ALDOA/HK2/PFKFB3/FBP1/HK3
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	56	-0.442719293535145	-1.6514000906415	0.00710101557498189	0.0435528955265556	0.0328889142420214	3106	tags=48%, list=18%, signal=40%	HRAS/PML/PIK3R5/STAT5A/MAP2K2/BAD/RAF1/JUP/PIK3CD/FLT3/RELA/PIM2/AKT1/RPS6KB2/ARAF/EIF4EBP1/GRB2/STAT3/PPARD/PIK3R2/IKBKG/MAPK3/CEBPA/MYC/PIM1/BRAF/SPI1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	14	-0.674075797446582	-1.78781987033107	0.00802896247248205	0.0476557772560225	0.0359872002162184	1805	tags=43%, list=11%, signal=38%	FUT2/HEXB/GLA/ST3GAL2/NAGA/GBGT1
