ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
DOID:526	human immunodeficiency virus infectious disease	4/22	222/10312	0.00112735736630158	0.0178028517428457	0.0119658106423238	SOCS3/CD163/HP/KLRC1	4
DOID:3021	acute kidney failure	3/22	110/10312	0.0015690581701031	0.0231504834818233	0.0155601083255138	MERTK/PPARG/HP	3
DOID:11613	hyperandrogenism	2/22	28/10312	0.001588159816695	0.0231504834818233	0.0155601083255138	AQP9/PPARG	2
DOID:11335	sarcoidosis	3/22	116/10312	0.00182750811846096	0.0253525687219102	0.0170401933917575	S100A9/PPARG/HP	3
DOID:4481	allergic rhinitis	3/22	117/10312	0.00187301299264772	0.0253525687219102	0.0170401933917575	ADM/FCGR1A/CLC	3
DOID:1883	hepatitis C	4/22	258/10312	0.0019625841227425	0.0256489442248072	0.0172393959239087	SOCS3/PPARG/KLRD1/KLRC1	4
DOID:1100	ovarian disease	4/22	261/10312	0.0020473805652327	0.0258652411407731	0.0173847753258356	AQP9/SOCS3/ADM/PPARG	4
DOID:2237	hepatitis	5/22	452/10312	0.00224281482038461	0.0274202199008312	0.0184299214442471	SOCS3/PPARG/KLRD1/KLRC1/VSIG4	5
DOID:1205	allergic disease	3/22	139/10312	0.00305933465616038	0.0362339948338995	0.0243539140391715	SOCS3/CYP1B1/ADM	3
DOID:3083	chronic obstructive pulmonary disease	4/22	304/10312	0.00355889895358333	0.0401419899908708	0.0269805904118615	CYP1B1/ADM/PPARG/HP	4
DOID:2320	obstructive lung disease	4/22	305/10312	0.00360112838968234	0.0401419899908708	0.0269805904118615	CYP1B1/ADM/PPARG/HP	4
DOID:865	vasculitis	3/22	154/10312	0.00408395616180509	0.0441592504279215	0.0296807071338897	S100A9/KLRD1/KLRC1	3
DOID:4483	rhinitis	3/22	156/10312	0.00423452095488116	0.0441592504279215	0.0296807071338897	ADM/FCGR1A/CLC	3
DOID:2163	nasal cavity disease	3/22	157/10312	0.00431106138742241	0.0441592504279215	0.0296807071338897	ADM/FCGR1A/CLC	3
DOID:11981	morbid obesity	2/22	49/10312	0.00480890341934626	0.0467326768187752	0.0314103813085505	AQP9/PPARG	2
DOID:5353	colonic disease	2/22	49/10312	0.00480890341934626	0.0467326768187752	0.0314103813085505	CD163/NRG1	2
DOID:6713	cerebrovascular disease	4/22	337/10312	0.00514090224208879	0.0481536543160765	0.032365461309514	ADM/PPARG/HP/NRG1	4
DOID:2825	nose disease	3/22	168/10312	0.00520923437192385	0.0481536543160765	0.032365461309514	ADM/FCGR1A/CLC	3
DOID:6000	congestive heart failure	4/22	355/10312	0.00617781910289202	0.055006510868786	0.036971464047344	ADM/PPARG/HP/NRG1	4
DOID:3978	extrinsic cardiomyopathy	2/22	56/10312	0.0062408442410496	0.055006510868786	0.036971464047344	S100A9/PPARG	2
DOID:3310	atopic dermatitis	3/22	183/10312	0.00660480454757943	0.056891384625741	0.0382383421175651	SOCS3/RNASE2/PPARG	3
DOID:3042	allergic contact dermatitis	3/22	192/10312	0.0075398031893721	0.0621252290045847	0.0417561600308554	SOCS3/RNASE2/PPARG	3
DOID:987	alopecia	2/22	62/10312	0.00760430525474714	0.0621252290045847	0.0417561600308554	PPARG/FCGR1A	2
DOID:2773	contact dermatitis	3/22	195/10312	0.00786810288184714	0.0621252290045847	0.0417561600308554	SOCS3/RNASE2/PPARG	3
DOID:4138	bile duct disease	3/22	195/10312	0.00786810288184714	0.0621252290045847	0.0417561600308554	ADM/PPARG/HP	3
DOID:9741	biliary tract disease	3/22	197/10312	0.00809163731828644	0.0625863376251135	0.0420660844473753	ADM/PPARG/HP	3
DOID:974	upper respiratory tract disease	3/22	202/10312	0.00866692400345327	0.0656952839461758	0.0441556970281198	ADM/FCGR1A/CLC	3
