ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1990858	cellular response to lectin	3/27	22/18903	3.93019114138324e-06	0.000303937746338295	0.0001949916400331	KLRD1/KLRC4/KLRC3	3
BP	GO:0002228	natural killer cell mediated immunity	4/27	77/18903	4.15914810778719e-06	0.000303937746338295	0.0001949916400331	KLRD1/KLRC1/KLRC4/KLRC3	4
BP	GO:0045824	negative regulation of innate immune response	4/27	77/18903	4.15914810778719e-06	0.000303937746338295	0.0001949916400331	PPARG/KLRD1/KLRC1/VSIG4	4
BP	GO:0001906	cell killing	5/27	189/18903	6.3984576749756e-06	0.000429065943430603	0.000275267790854647	KLRD1/FCGR1A/KLRC1/KLRC4/KLRC3	5
BP	GO:0001910	regulation of leukocyte mediated cytotoxicity	4/27	87/18903	6.77472542258847e-06	0.000429065943430603	0.000275267790854647	KLRD1/KLRC1/KLRC4/KLRC3	4
BP	GO:0045954	positive regulation of natural killer cell mediated cytotoxicity	3/27	27/18903	7.42934798590417e-06	0.00044111753666306	0.000282999505515692	KLRD1/KLRC4/KLRC3	3
BP	GO:0002831	regulation of response to biotic stimulus	6/27	361/18903	9.81230904103638e-06	0.000526479122506251	0.0003377633373198	PPARG/KLRD1/KLRC1/VSIG4/KLRC4/KLRC3	6
BP	GO:0002449	lymphocyte mediated immunity	6/27	367/18903	1.07774589248121e-05	0.000526479122506251	0.0003377633373198	KLRD1/FCGR1A/KLRC1/KLRC4/KLRC3/CLC	6
BP	GO:0030101	natural killer cell activation	4/27	99/18903	1.13240642958744e-05	0.000526479122506251	0.0003377633373198	MERTK/KLRD1/KLRC1/KLRC3	4
BP	GO:0002220	innate immune response activating cell surface receptor signaling pathway	3/27	31/18903	1.1373658700568e-05	0.000526479122506251	0.0003377633373198	KLRD1/KLRC4/KLRC3	3
BP	GO:0002717	positive regulation of natural killer cell mediated immunity	3/27	32/18903	1.25382986820375e-05	0.000526479122506251	0.0003377633373198	KLRD1/KLRC4/KLRC3	3
BP	GO:0002758	innate immune response-activating signal transduction	3/27	32/18903	1.25382986820375e-05	0.000526479122506251	0.0003377633373198	KLRD1/KLRC4/KLRC3	3
BP	GO:0031341	regulation of cell killing	4/27	102/18903	1.27463366501513e-05	0.000526479122506251	0.0003377633373198	KLRD1/KLRC1/KLRC4/KLRC3	4
BP	GO:0002832	negative regulation of response to biotic stimulus	4/27	116/18903	2.11857376847641e-05	0.000838602116688577	0.000538006233310456	PPARG/KLRD1/KLRC1/VSIG4	4
BP	GO:0002708	positive regulation of lymphocyte mediated immunity	4/27	119/18903	2.34265210108079e-05	0.000890207798410702	0.000571113922747697	KLRD1/FCGR1A/KLRC4/KLRC3	4
BP	GO:0032814	regulation of natural killer cell activation	3/27	42/18903	2.87450926031836e-05	0.00105030146050094	0.000673822211224426	KLRD1/KLRC1/KLRC3	3
BP	GO:0031348	negative regulation of defense response	5/27	272/18903	3.70340008788028e-05	0.00130304817906899	0.000835972183579993	SOCS3/PPARG/KLRD1/KLRC1/VSIG4	5
BP	GO:0002443	leukocyte mediated immunity	6/27	463/18903	3.99551760323492e-05	0.0013556220439547	0.000869701012132714	KLRD1/FCGR1A/KLRC1/KLRC4/KLRC3/CLC	6
BP	GO:0002705	positive regulation of leukocyte mediated immunity	4/27	140/18903	4.4308888900958e-05	0.00145149808468655	0.000931210405577302	KLRD1/FCGR1A/KLRC4/KLRC3	4
BP	GO:0031349	positive regulation of defense response	5/27	307/18903	6.58362729890936e-05	0.0020848153113213	0.00133751586177843	S100A9/KLRD1/FCGR1A/KLRC4/KLRC3	5
BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	3/27	59/18903	8.00936071766908e-05	0.00245448151025343	0.00157467567250608	KLRD1/KLRC4/KLRC3	3
BP	GO:0001915	negative regulation of T cell mediated cytotoxicity	2/27	10/18903	8.7790373461133e-05	0.00260627671212739	0.00167206007348671	KLRD1/KLRC1	2
BP	GO:0002218	activation of innate immune response	3/27	64/18903	0.000102161857480327	0.00293236726705774	0.00188126387548635	KLRD1/KLRC4/KLRC3	3
BP	GO:0010887	negative regulation of cholesterol storage	2/27	11/18903	0.000107204783692673	0.00293236726705774	0.00188126387548635	PPARG/CES1	2
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	5/27	341/18903	0.00010803458352318	0.00293236726705774	0.00188126387548635	KLRD1/FCGR1A/KLRC1/KLRC4/KLRC3	5
BP	GO:0031343	positive regulation of cell killing	3/27	66/18903	0.000111992084796165	0.00295534668212101	0.00189600634786489	KLRD1/KLRC4/KLRC3	3
BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4/27	182/18903	0.000122701487407704	0.00315044359560322	0.002021171015905	KLRD1/FCGR1A/KLRC1/CLC	4
BP	GO:0050777	negative regulation of immune response	4/27	190/18903	0.000144811670011007	0.00362029175027518	0.00232260268521809	PPARG/KLRD1/KLRC1/VSIG4	4
BP	GO:0060670	branching involved in labyrinthine layer morphogenesis	2/27	13/18903	0.000151768046802479	0.00369691396057319	0.00237175975974724	SOCS3/ADM	2
BP	GO:0002819	regulation of adaptive immune response	4/27	198/18903	0.000169677848982734	0.00402984891333994	0.00258535459371061	KLRD1/FCGR1A/KLRC1/CLC	4
BP	GO:0042742	defense response to bacterium	5/27	382/18903	0.000183698007366471	0.00425641724385725	0.00273070978857988	S100A9/STAB1/RNASE1/FCGR1A/HP	5
BP	GO:0002709	regulation of T cell mediated immunity	3/27	89/18903	0.000271919224956665	0.00615055389782934	0.00394589552004785	KLRD1/KLRC1/CLC	3
BP	GO:0010885	regulation of cholesterol storage	2/27	19/18903	0.000330967467735731	0.00714588850793055	0.0045844536798801	PPARG/CES1	2
BP	GO:0045953	negative regulation of natural killer cell mediated cytotoxicity	2/27	19/18903	0.000330967467735731	0.00714588850793055	0.0045844536798801	KLRD1/KLRC1	2
BP	GO:0032102	negative regulation of response to external stimulus	5/27	436/18903	0.000338633673733499	0.00714893311215165	0.00458640694951336	SOCS3/PPARG/KLRD1/KLRC1/VSIG4	5
BP	GO:0002716	negative regulation of natural killer cell mediated immunity	2/27	20/18903	0.000367417751955406	0.00758797531212252	0.00486807502018719	KLRD1/KLRC1	2
BP	GO:0002683	negative regulation of immune system process	5/27	449/18903	0.000387527207718172	0.00783299675175029	0.00502526883020878	MERTK/PPARG/KLRD1/KLRC1/VSIG4	5
BP	GO:0010878	cholesterol storage	2/27	21/18903	0.000405735674219913	0.00792387027211264	0.00508356885047448	PPARG/CES1	2
BP	GO:0009636	response to toxic substance	4/27	250/18903	0.000412557018240724	0.00792387027211264	0.00508356885047448	S100A9/CYP1B1/HP/CES1	4
BP	GO:0050764	regulation of phagocytosis	3/27	103/18903	0.0004178547666679	0.00792387027211264	0.00508356885047448	DYSF/MERTK/FCGR1A	3
BP	GO:0010888	negative regulation of lipid storage	2/27	22/18903	0.000445916222527765	0.00792387027211264	0.00508356885047448	PPARG/CES1	2
BP	GO:0060713	labyrinthine layer morphogenesis	2/27	22/18903	0.000445916222527765	0.00792387027211264	0.00508356885047448	SOCS3/ADM	2
BP	GO:0071404	cellular response to low-density lipoprotein particle stimulus	2/27	22/18903	0.000445916222527765	0.00792387027211264	0.00508356885047448	PPARG/CES1	2
BP	GO:0032103	positive regulation of response to external stimulus	5/27	464/18903	0.000450409468099034	0.00792387027211264	0.00508356885047448	S100A9/KLRD1/FCGR1A/KLRC4/KLRC3	5
BP	GO:0002699	positive regulation of immune effector process	4/27	261/18903	0.000485371143602043	0.00838368338948984	0.00537856252910207	KLRD1/FCGR1A/KLRC4/KLRC3	4
BP	GO:0002456	T cell mediated immunity	3/27	113/18903	0.000547971080618657	0.00929593797478079	0.00596382059545493	KLRD1/KLRC1/CLC	3
BP	GO:0002526	acute inflammatory response	3/27	114/18903	0.000562246455160408	0.00930007568138057	0.00596647514628183	FCGR1A/CD163/HP	3
BP	GO:1904892	regulation of receptor signaling pathway via STAT	3/27	115/18903	0.00057675818693615	0.00930007568138057	0.00596647514628183	SOCS3/CYP1B1/PPARG	3
BP	GO:0001911	negative regulation of leukocyte mediated cytotoxicity	2/27	25/18903	0.000577583647580478	0.00930007568138057	0.00596647514628183	KLRD1/KLRC1	2
BP	GO:0060669	embryonic placenta morphogenesis	2/27	26/18903	0.000625164771782824	0.00989844221989471	0.00635035794495184	SOCS3/ADM	2
BP	GO:0002710	negative regulation of T cell mediated immunity	2/27	27/18903	0.000674583605686578	0.0103307768954801	0.00662772279499496	KLRD1/KLRC1	2
BP	GO:0010875	positive regulation of cholesterol efflux	2/27	27/18903	0.000674583605686578	0.0103307768954801	0.00662772279499496	PPARG/CES1	2
BP	GO:0002698	negative regulation of immune effector process	3/27	122/18903	0.000685093625700256	0.0103307768954801	0.00662772279499496	KLRD1/KLRC1/VSIG4	3
BP	GO:0031342	negative regulation of cell killing	2/27	28/18903	0.000725835194647388	0.0107741161705472	0.00691214765955325	KLRD1/KLRC1	2
BP	GO:0045940	positive regulation of steroid metabolic process	2/27	30/18903	0.000833816866672794	0.0121865542052178	0.007818299041353	ADM/CES1	2
BP	GO:0010565	regulation of cellular ketone metabolic process	3/27	136/18903	0.000938910323270846	0.0135146182895046	0.00867032021010877	ADM/PPARG/CES1	3
BP	GO:1904893	negative regulation of receptor signaling pathway via STAT	2/27	33/18903	0.00100941171724533	0.0143125541997472	0.00918223698798185	SOCS3/PPARG	2
BP	GO:0055094	response to lipoprotein particle	2/27	34/18903	0.00107155632021979	0.0149702721207177	0.00960419674005045	PPARG/CES1	2
BP	GO:0045089	positive regulation of innate immune response	3/27	145/18903	0.00112979729173534	0.0155551801036024	0.00997944518557985	KLRD1/KLRC4/KLRC3	3
BP	GO:0001890	placenta development	3/27	150/18903	0.00124569298142246	0.0169058333193048	0.0108459584397534	SOCS3/ADM/PPARG	3
BP	GO:0071402	cellular response to lipoprotein particle stimulus	2/27	37/18903	0.00126876064932282	0.0169763748853053	0.0108912144693538	PPARG/CES1	2
BP	GO:0062013	positive regulation of small molecule metabolic process	3/27	152/18903	0.0012940729263141	0.017074573333311	0.0109542138060799	ADM/PPARG/CES1	3
BP	GO:0045834	positive regulation of lipid metabolic process	3/27	154/18903	0.00134362451746421	0.0174855245423425	0.0112178600665001	ADM/PPARG/CES1	3
BP	GO:0032373	positive regulation of sterol transport	2/27	39/18903	0.0014091569623624	0.0178493215232571	0.0114512544730924	PPARG/CES1	2
BP	GO:0032376	positive regulation of cholesterol transport	2/27	39/18903	0.0014091569623624	0.0178493215232571	0.0114512544730924	PPARG/CES1	2
BP	GO:0045765	regulation of angiogenesis	4/27	349/18903	0.00143254777028371	0.0179068471285464	0.0114881600968735	STAB1/CYP1B1/ADM/PPARG	4
BP	GO:1901342	regulation of vasculature development	4/27	355/18903	0.00152513672895254	0.0188166219805833	0.0120718272872662	STAB1/CYP1B1/ADM/PPARG	4
BP	GO:0001914	regulation of T cell mediated cytotoxicity	2/27	41/18903	0.00155664942995865	0.0189591917751374	0.012163293116681	KLRD1/KLRC1	2
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4/27	375/18903	0.00186402209637904	0.0224154555893682	0.0143806634750628	KLRD1/FCGR1A/KLRC1/CLC	4
BP	GO:0018108	peptidyl-tyrosine phosphorylation	4/27	380/18903	0.00195630505298867	0.0232311225042405	0.0149039556010584	SOCS3/MERTK/FCGR1A/NRG1	4
BP	GO:0018212	peptidyl-tyrosine modification	4/27	382/18903	0.00199409320454726	0.0233875128928382	0.0150042880498098	SOCS3/MERTK/FCGR1A/NRG1	4
BP	GO:0060711	labyrinthine layer development	2/27	47/18903	0.00204131829236448	0.023649419240808	0.0151723143938259	SOCS3/ADM	2
BP	GO:0006953	acute-phase response	2/27	48/18903	0.00212819903229944	0.0243589045865599	0.015627485601793	CD163/HP	2
BP	GO:0097696	receptor signaling pathway via STAT	3/27	183/18903	0.00220023275513664	0.024883584730712	0.0159640948023072	SOCS3/CYP1B1/PPARG	3
BP	GO:0002253	activation of immune response	4/27	397/18903	0.00229385572210604	0.0256372110117734	0.0164475846823455	KLRD1/VSIG4/KLRC4/KLRC3	4
BP	GO:0002833	positive regulation of response to biotic stimulus	3/27	188/18903	0.00237530686837812	0.0261982432754301	0.0168075156304421	KLRD1/KLRC4/KLRC3	3
BP	GO:0001913	T cell mediated cytotoxicity	2/27	51/18903	0.0023992075420657	0.0261982432754301	0.0168075156304421	KLRD1/KLRC1	2
BP	GO:0010874	regulation of cholesterol efflux	2/27	53/18903	0.00258847108065205	0.0279437218934028	0.0179273296136069	PPARG/CES1	2
BP	GO:0050727	regulation of inflammatory response	4/27	414/18903	0.00266982794745834	0.0283486971386509	0.0181871419870126	S100A9/SOCS3/PPARG/FCGR1A	4
BP	GO:0010883	regulation of lipid storage	2/27	54/18903	0.0026856660447143	0.0283486971386509	0.0181871419870126	PPARG/CES1	2
BP	GO:0071320	cellular response to cAMP	2/27	55/18903	0.00278456353108254	0.029069619280532	0.0186496504857928	AQP9/CYP1B1	2
BP	GO:0043434	response to peptide hormone	4/27	421/18903	0.00283631004246506	0.0292879841341501	0.0187897427298315	SOCS3/CYP1B1/ADM/PPARG	4
BP	GO:0002707	negative regulation of lymphocyte mediated immunity	2/27	56/18903	0.00288515884547391	0.0294720527225829	0.0189078321621889	KLRD1/KLRC1	2
BP	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	2/27	57/18903	0.00298744730268539	0.0301922865696928	0.0193698990846007	KLRD1/KLRC1	2
BP	GO:0061098	positive regulation of protein tyrosine kinase activity	2/27	59/18903	0.00319708495006677	0.0319708495006677	0.0205109383500128	FCGR1A/NRG1	2
BP	GO:0042060	wound healing	4/27	442/18903	0.00337850775543063	0.0334331496631157	0.0214490788420432	DYSF/MERTK/PPARG/NRG1	4
BP	GO:0002820	negative regulation of adaptive immune response	2/27	62/18903	0.00352412338265788	0.0345146104487112	0.0221428913571233	KLRD1/KLRC1	2
BP	GO:0042180	cellular ketone metabolic process	3/27	218/18903	0.0036076253053061	0.0349718779596	0.022436251898735	ADM/PPARG/CES1	3
BP	GO:1905953	negative regulation of lipid localization	2/27	65/18903	0.00386614886213921	0.0370994082730531	0.023801171623377	PPARG/CES1	2
BP	GO:0002704	negative regulation of leukocyte mediated immunity	2/27	68/18903	0.00422303683448111	0.0401188499275705	0.0257382981806796	KLRD1/KLRC1	2
BP	GO:0033344	cholesterol efflux	2/27	71/18903	0.0045946634691617	0.0432171316406298	0.0277260046758168	PPARG/CES1	2
BP	GO:1900076	regulation of cellular response to insulin stimulus	2/27	72/18903	0.00472179297331143	0.0439774835749594	0.0282138094070931	SOCS3/PPARG	2
BP	GO:0050766	positive regulation of phagocytosis	2/27	74/18903	0.00498090565561201	0.0459403919692369	0.0294731157342805	MERTK/FCGR1A	2
BP	GO:0033674	positive regulation of kinase activity	4/27	496/18903	0.00509052864286797	0.0462593884529045	0.0296777683260185	MERTK/FCGR1A/NRG1/FAM20A	4
BP	GO:0050810	regulation of steroid biosynthetic process	2/27	75/18903	0.00511287977637365	0.0462593884529045	0.0296777683260185	ADM/CES1	2
BP	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	2/27	77/18903	0.00538164099967667	0.0482316882046494	0.0309430996902958	S100A9/PPARG	2
BP	GO:0006898	receptor-mediated endocytosis	3/27	257/18903	0.00570843155672042	0.0506823362512561	0.0325153159994208	STAB1/ADM/FCGR1A	3
BP	GO:0032371	regulation of sterol transport	2/27	81/18903	0.00593828949255062	0.0517557341093861	0.0332039557333347	PPARG/CES1	2
BP	GO:0032374	regulation of cholesterol transport	2/27	81/18903	0.00593828949255062	0.0517557341093861	0.0332039557333347	PPARG/CES1	2
BP	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	3/27	266/18903	0.00627818375499753	0.0542206778840695	0.0347853434846274	SOCS3/FCGR1A/NRG1	3
BP	GO:0032868	response to insulin	3/27	269/18903	0.00647541307448648	0.0554202019888482	0.0355548996692998	SOCS3/ADM/PPARG	3
BP	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	2/27	86/18903	0.00666959270831798	0.0565724381509115	0.036294118215377	RNASE2/RNASE1	2
BP	GO:0001892	embryonic placenta development	2/27	87/18903	0.00682054126361617	0.0568378438634681	0.0364643895811058	SOCS3/ADM	2
BP	GO:0019915	lipid storage	2/27	87/18903	0.00682054126361617	0.0568378438634681	0.0364643895811058	PPARG/CES1	2
BP	GO:0032370	positive regulation of lipid transport	2/27	88/18903	0.00697304214382136	0.0576033916228721	0.0369555277004354	PPARG/CES1	2
BP	GO:0051591	response to cAMP	2/27	90/18903	0.00728268327803466	0.059642664777008	0.0382638259345015	AQP9/CYP1B1	2
BP	GO:0042475	odontogenesis of dentin-containing tooth	2/27	91/18903	0.00743981475307102	0.0604087522685254	0.0387553103196412	ADM/FAM20A	2
BP	GO:0015850	organic hydroxy compound transport	3/27	292/18903	0.008111291801687	0.0653027729796835	0.0418950754074645	AQP9/PPARG/CES1	3
BP	GO:0061097	regulation of protein tyrosine kinase activity	2/27	96/18903	0.0082484063991131	0.0658486225139281	0.0422452658565811	FCGR1A/NRG1	2
BP	GO:0097306	cellular response to alcohol	2/27	100/18903	0.00892254016372456	0.0700530012854408	0.0449425902983603	CYP1B1/CES1	2
BP	GO:0098869	cellular oxidant detoxification	2/27	100/18903	0.00892254016372456	0.0700530012854408	0.0449425902983603	S100A9/HP	2
BP	GO:0071375	cellular response to peptide hormone stimulus	3/27	306/18903	0.00921637378503072	0.0715867390133991	0.0459265616495934	SOCS3/CYP1B1/PPARG	3
BP	GO:0019218	regulation of steroid metabolic process	2/27	102/18903	0.0092685988406822	0.0715867390133991	0.0459265616495934	ADM/CES1	2
BP	GO:0046425	regulation of receptor signaling pathway via JAK-STAT	2/27	104/18903	0.00962060626947375	0.0732539385325792	0.04699615557935	SOCS3/CYP1B1	2
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	3/27	312/18903	0.00971578553168945	0.0732539385325792	0.04699615557935	KLRD1/KLRC4/KLRC3	3
BP	GO:0002757	immune response-activating signal transduction	3/27	312/18903	0.00971578553168945	0.0732539385325792	0.04699615557935	KLRD1/KLRC4/KLRC3	3
BP	GO:0006909	phagocytosis	3/27	314/18903	0.00988572643052487	0.0739483473149498	0.0474416543992864	DYSF/MERTK/FCGR1A	3
CC	GO:0009897	external side of plasma membrane	8/27	462/19869	1.21112748536937e-07	6.17675017538379e-06	4.84450994147748e-06	ASGR2/TCN2/KLRD1/FCGR1A/CD163/KLRC1/KLRC4/KLRC3	8
CC	GO:0030139	endocytic vesicle	5/27	343/19869	8.79468089220871e-05	0.00224264362751322	0.00175893617844174	STAB1/DYSF/FCGR1A/CD163/HP	5
CC	GO:0030666	endocytic vesicle membrane	3/27	194/19869	0.00225571780043788	0.0383472026074439	0.0300762373391717	STAB1/FCGR1A/CD163	3
MF	GO:0030246	carbohydrate binding	6/27	275/18432	2.37565833923117e-06	0.000301708609082359	0.000180049895183836	ASGR2/KLRD1/KLRC1/KLRF1/KLRC3/CLC	6
MF	GO:0140375	immune receptor activity	4/27	148/18432	6.06654099718253e-05	0.00385225353321091	0.00229889974630075	KLRD1/FCGR1A/KLRC1/KLRF1	4
MF	GO:0016894	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters	2/27	15/18432	0.000214436799247241	0.00583719356450682	0.00348344746493569	RNASE2/RNASE1	2
MF	GO:0036041	long-chain fatty acid binding	2/27	15/18432	0.000214436799247241	0.00583719356450682	0.00348344746493569	S100A9/PPARG	2
MF	GO:0038024	cargo receptor activity	3/27	82/18432	0.000229810770256174	0.00583719356450682	0.00348344746493569	ASGR2/STAB1/CD163	3
MF	GO:0023023	MHC protein complex binding	2/27	36/18432	0.00126244681760205	0.0267217909725767	0.0159466966433943	KLRD1/KLRC1	2
MF	GO:0005044	scavenger receptor activity	2/27	47/18432	0.00214480820485565	0.0369743550548878	0.0220650937749849	STAB1/CD163	2
MF	GO:0005504	fatty acid binding	2/27	49/18432	0.00232909323180396	0.0369743550548878	0.0220650937749849	S100A9/PPARG	2
MF	GO:0016829	lyase activity	3/27	199/18432	0.00299552223284275	0.0422701470634478	0.0252254503818337	CYP1B1/RNASE2/RNASE1	3
MF	GO:0019887	protein kinase regulator activity	3/27	218/18432	0.00387110373984812	0.0491630174960712	0.0293388915020068	SOCS3/NRG1/FAM20A	3
MF	GO:0004521	endoribonuclease activity	2/27	72/18432	0.00495840311629031	0.0572470177971699	0.034163160227072	RNASE2/RNASE1	2
MF	GO:0019207	kinase regulator activity	3/27	246/18432	0.00542175346772227	0.0573802242000607	0.0342426534803512	SOCS3/NRG1/FAM20A	3
MF	GO:0033293	monocarboxylic acid binding	2/27	81/18432	0.00623460663779548	0.060907311000002	0.0363475042851235	S100A9/PPARG	2
MF	GO:0016209	antioxidant activity	2/27	85/18432	0.00684494483514221	0.0620934281473615	0.0370553404609202	S100A9/HP	2
MF	GO:0030295	protein kinase activator activity	2/27	115/18432	0.012234108784568	0.0789466616167891	0.0471128026225347	NRG1/FAM20A	2
MF	GO:0019209	kinase activator activity	2/27	121/18432	0.0134771819878024	0.0789466616167891	0.0471128026225347	NRG1/FAM20A	2
MF	GO:0004540	ribonuclease activity	2/27	122/18432	0.0136895210897533	0.0789466616167891	0.0471128026225347	RNASE2/RNASE1	2
MF	GO:0004519	endonuclease activity	2/27	125/18432	0.0143352960828815	0.0789466616167891	0.0471128026225347	RNASE2/RNASE1	2
MF	GO:0004955	prostaglandin receptor activity	1/27	10/18432	0.0145557848094517	0.0789466616167891	0.0471128026225347	PPARG	1
MF	GO:0031419	cobalamin binding	1/27	10/18432	0.0145557848094517	0.0789466616167891	0.0471128026225347	TCN2	1
MF	GO:0050786	RAGE receptor binding	1/27	10/18432	0.0145557848094517	0.0789466616167891	0.0471128026225347	S100A9	1
MF	GO:0001851	complement component C3b binding	1/27	11/18432	0.0160000901948683	0.0789466616167891	0.0471128026225347	VSIG4	1
MF	GO:0004954	prostanoid receptor activity	1/27	11/18432	0.0160000901948683	0.0789466616167891	0.0471128026225347	PPARG	1
MF	GO:0019864	IgG binding	1/27	11/18432	0.0160000901948683	0.0789466616167891	0.0471128026225347	FCGR1A	1
MF	GO:0043177	organic acid binding	2/27	137/18432	0.017047662601946	0.0789466616167891	0.0471128026225347	S100A9/PPARG	2
MF	GO:0035325	Toll-like receptor binding	1/27	12/18432	0.0174423570405738	0.0789466616167891	0.0471128026225347	S100A9	1
MF	GO:0097677	STAT family protein binding	1/27	12/18432	0.0174423570405738	0.0789466616167891	0.0471128026225347	PPARG	1
MF	GO:0015166	polyol transmembrane transporter activity	1/27	13/18432	0.0188825881133158	0.0789466616167891	0.0471128026225347	AQP9	1
MF	GO:0046906	tetrapyrrole binding	2/27	149/18432	0.0199612689109565	0.0789466616167891	0.0471128026225347	CYP1B1/TCN2	2
MF	GO:0015250	water channel activity	1/27	14/18432	0.0203207861762366	0.0789466616167891	0.0471128026225347	AQP9	1
MF	GO:0030297	transmembrane receptor protein tyrosine kinase activator activity	1/27	14/18432	0.0203207861762366	0.0789466616167891	0.0471128026225347	NRG1	1
MF	GO:0004953	icosanoid receptor activity	1/27	15/18432	0.0217569539888789	0.0789466616167891	0.0471128026225347	PPARG	1
MF	GO:0005041	low-density lipoprotein particle receptor activity	1/27	15/18432	0.0217569539888789	0.0789466616167891	0.0471128026225347	STAB1	1
MF	GO:0046965	nuclear retinoid X receptor binding	1/27	15/18432	0.0217569539888789	0.0789466616167891	0.0471128026225347	PPARG	1
MF	GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	1/27	15/18432	0.0217569539888789	0.0789466616167891	0.0471128026225347	CLC	1
MF	GO:0046935	1-phosphatidylinositol-3-kinase regulator activity	1/27	16/18432	0.0231910943071879	0.0801832732104332	0.0478507722432755	SOCS3	1
MF	GO:0005372	water transmembrane transporter activity	1/27	17/18432	0.0246232098835188	0.0801832732104332	0.0478507722432755	AQP9	1
MF	GO:0030169	low-density lipoprotein particle binding	1/27	17/18432	0.0246232098835188	0.0801832732104332	0.0478507722432755	STAB1	1
MF	GO:0032393	MHC class I receptor activity	1/27	17/18432	0.0246232098835188	0.0801832732104332	0.0478507722432755	KLRF1	1
MF	GO:0031406	carboxylic acid binding	2/27	171/18432	0.0258014332679378	0.0807016961039757	0.0481601501822317	S100A9/PPARG	2
MF	GO:0030228	lipoprotein particle receptor activity	1/27	18/18432	0.0260533034666378	0.0807016961039757	0.0481601501822317	STAB1	1
MF	GO:0035014	phosphatidylinositol 3-kinase regulator activity	1/27	19/18432	0.027481377801731	0.0830984519242818	0.0495904561835747	SOCS3	1
